,BLEACH,DOIS SOL,HUNTER×HUNTER,LIGHT WING,NARUTO −ナルト−,ONE PIECE,REBORN!,SKET DANCE,ST&RS -スターズ-,enígme 【エニグマ】,magico,いぬまるだしっ,こちら葛飾区亀有公園前派出所,ぬらりひょんの孫,べるぜバブ,めだかボックス,クロガネ,トリコ,ニセコイ,バクマン。,メルヘン王子グリム,保健室の死神,奇怪噺 花咲一休,戦国ARMORS,新連載作品(10週未満),現存! 古代生物史 パッキー,逢魔ヶ刻動物園,銀魂,鏡の国の針栖川,黒子のバスケ
1,4,,休,19,3,2,11,6,,8,,13,12,18,14,17,,5,,9,,16,,,,,15,1,,10
2,3,,休,19,1,2,11,10,,6,,12,14,16,5,13,,4,,8,,18,,,,,17,7,,15
3,4,,休,19,3,2,6,10,,7,,14,15,18,12,13,,1,,5,,16,,,,,17,8,,11
5,4,,休,22,2,1,17,12,,7,,11,8,19,6,13,,5,,3,,20,,,,,21,10,,16
7,6,,休,19,3,2,14,5,,12,,10,13,16,1,8,,7,,11,,18,,,,,15,4,,17
8,落,,休,19,4,2,5,7,,1,,14,11,15,8,17,,6,,10,,12,,,,,13,3,,18
9,7,,休,19,2,1,14,6,,10,,13,11,15,8,12,,3,,5,,18,,,,,16,4,,17
10,7,,休,19,4,2,13,12,,8,,14,16,6,10,18,,3,,5,,11,,,,,17,1,,15
11,6,1,休,19,3,2,5,10,,12,,13,15,16,11,14,,4,,8,,17,,,,,18,7,,9
12,8,7,休,20,2,4,13,11,,12,,14,10,17,9,15,,6,,3,1,16,,,,,19,5,,18
13,5,10,休,,2,3,15,16,,7,1,14,17,18,12,13,,11,,9,6,20,,,,,19,4,,8
14,12,11,休,,4,休,13,10,,7,6,14,16,19,9,18,,5,,3,8,17,,1,,,20,2,,15
15,13,11,休,,1,2,17,12,,14,10,15,9,19,5,18,,3,,7,8,20,,6,,,21,4,,16
16,10,5,休,,3,1,16,4,,13,11,14,17,18,8,19,,6,,9,12,21,,7,,,20,2,,15
17,6,13,休,,3,2,14,4,,15,5,10,19,11,18,22,,1,,12,7,21,,9,,,20,16,,17
18,10,15,休,,4,2,12,1,,13,7,14,18,22,8,17,,5,,3,16,21,,11,,,20,6,,19
19,6,16,休,,3,2,12,14,,11,5,10,15,20,1,18,,8,,4,17,19,,7,,,21,13,,9
20,13,20,休,,3,1,16,7,,15,11,14,8,18,5,19,,6,,2,10,21,,12,,,,4,,17
22,14,21,休,,3,2,15,12,,13,7,10,1,20,9,18,,5,,4,16,19,,8,,,,6,,17
23,14,20,休,,4,2,5,6,,11,9,15,18,19,10,12,,3,,8,13,21,1,17,,,,7,,16
24,15,21,休,,4,2,13,5,,14,10,12,16,17,8,9,,1,,7,19,20,6,18,,,,3,,11
25,6,20,休,,4,3,9,8,,14,11,19,12,15,5,16,,2,,1,17,21,7,18,,,,10,,13
26,13,21,休,,1,3,5,11,,16,10,15,9,14,4,12,,2,,8,18,20,7,19,,,,6,,17
27,10,20,休,,4,休,14,1,,12,6,13,16,17,5,8,,2,,7,21,18,9,19,,,,3,,15
28,14,21,休,,3,1,13,5,,11,8,17,15,16,6,10,,2,,9,20,18,7,19,,,,4,,12
29,17,,休,,4,2,10,8,,15,13,18,14,6,3,11,,1,,9,20,21,7,19,,,,5,,16
30,17,,休,,6,2,8,12,1,18,11,16,9,13,4,14,,3,,5,20,,10,19,,,,7,,15
31,18,,休,,4,2,17,6,5,11,9,14,12,19,16,8,,3,,7,,,15,20,,,,10,1,13
32,1,,休,,5,3,16,10,11,17,14,13,18,19,7,15,,2,,4,,,12,,,,,8,6,20
33,14,,休,,1,休,5,3,7,18,10,13,16,19,8,15,,2,,4,,,20,,,,,6,11,17
34,18,,休,,3,2,17,11,7,15,19,13,1,14,8,16,,4,,6,,,20,,,,,12,5,10
35,18.0,,6.0,,4.0,1.0,10.0,12.0,7.0,17.0,19.0,14.0,11.0,20.0,15.0,13.0,,2.0,,3.0,,,21.0,,,,,5.0,8.0,16.0
37,1.0,,13.0,,3.0,2.0,20.0,7.0,6.0,19.0,18.0,14.0,10.0,15.0,16.0,12.0,,4.0,,5.0,,,21.0,,,,,11.0,8.0,17.0
38,18.0,,13.0,,4.0,2.0,6.0,3.0,8.0,20.0,19.0,14.0,10.0,17.0,11.0,16.0,,1.0,,12.0,,,21.0,,,,,5.0,7.0,15.0
39,15,,13,,5,2,17,10,7,19,18,12,9,16,6,11,1,3,,休,,,,,,,,8,4,14
40,11.0,,13.0,,3.0,2.0,14.0,1.0,10.0,20.0,19.0,12.0,17.0,15.0,16.0,9.0,6.0,7.0,,5.0,,,,,,,,4.0,8.0,18.0
41,8.0,,17.0,,2.0,3.0,14.0,4.0,9.0,12.0,20.0,15.0,11.0,19.0,6.0,13.0,10.0,7.0,,1.0,,,,,,,,16.0,5.0,18.0
42,6.0,,1.0,,2.0,3.0,10.0,14.0,21.0,19.0,20.0,17.0,18.0,16.0,15.0,12.0,8.0,7.0,,13.0,,,,,,,,9.0,5.0,4.0
43,3,,18,,2,休,9,4,20,19,16,15,12,14,17,6,8,7,,13,,,,,,,,11,5,1
44,12,,18,,1,2,5,4,17,20,16,休,14,6,15,8,7,3,,13,,,,,,,,11,10,19
45,8.0,,20.0,,3.0,1.0,5.0,2.0,19.0,21.0,14.0,12.0,13.0,17.0,15.0,6.0,7.0,4.0,,16.0,,,,,,,,10.0,11.0,18.0
46,1.0,,19.0,,2.0,3.0,8.0,6.0,21.0,20.0,14.0,12.0,18.0,15.0,13.0,11.0,7.0,4.0,,10.0,,,,,,,,5.0,16.0,17.0
47,5.0,,13.0,,2.0,3.0,10.0,4.0,16.0,20.0,14.0,12.0,15.0,19.0,17.0,11.0,9.0,1.0,,6.0,,,,,,,,7.0,18.0,8.0
48,8,,19,,5,3,13,12,15,,17,14,16,9,18,6,10,休,1,2,,,,,,,,4,11,7
49,15,,16,,2,休,10,11,19,,12,18,13,20,17,9,8,4,7,5,,,,,,1,,3,14,6
50,14,,17,,休,2,5,9,21,,19,16,15,13,18,1,10,7,8,4,,,,,,6,,3,20,11
51,6.0,,17.0,,3.0,2.0,18.0,15.0,19.0,,14.0,9.0,1.0,21.0,20.0,16.0,13.0,5.0,8.0,4.0,,,,,,7.0,,11.0,22.0,12.0
